document,text
K,"Para pecinta Squid Game sangat tertarik dengan adanya kue dalgona, kue Korea yang bentuknya seperti permen dengan bentuk timbul di permukaan. Drama Korea Squid Game menjadi salah satu serial orisinal Netflix yang paling banyak ditonton, hingga pemirsa internasional mengikuti pada tiap tingkatan episodenya. Pada episode sembilan yang mengikuti sekelompok orang-orang kurang beruntung, menemukan diri mereka terjebak di arena terpencil. Dimana mereka harus bersaing dalam serangkaian permainan nostalgia masa anak-anak dengan konsekuensi hidup atau mati untuk kesempatan memenangkan jutaan dari dolar. Dalam satu tantangan tertentu para pemain berusaha bertahan hidup dengan cara mengukir bentuk menjadi sepotong permen sarang lebah, tanpa membiarkannya hancur atau pecah, bermacam bentuk  dibuat seperti lingkaran, segitiga, bintang atau payung dll. Sejak saat itu warganet menjadi sangat tertarik dengan kue tersebut, camilan Korea yang dikenal dengan nama dalgona, yang kini mengalami peningkatan popularitas. Selain menyajikan berbagai meme kocak, episode tersebut juga memicu tantangan di aplikasi TikTok. Banyak yang baru-baru ini memposting video tentang upaya membuat dalgona dan mencoba mengukir bentuknya. Salah satu TikToker bernama Lynja (@cookingwithlynja) memberikan tutorial tentang cara membuat kue dalgona di rumah. Dia berbagi video lucu pada minggu lalu membuat suguhan di bawah pengawasan salah satu staf Squid Game yang membawa senjata bertopeng."
L,"Presiden RI Joko Widodo memastikan pelaksanaan vaksinasi COVID-19 berjalan lancar dan merata dari Sabang sampai Merauke dengan melihat langsung program vaksinasi di Kabupaten Merauke, Provinsi Papua. Penting untuk Indonesia dapat melakukan pemerataan vaksin, karena COVID-19 tidak mungkin hilang secara total. Kita harus belajar hidup dengan COVID-19 dengan divaksinasi dan tetap disiplin menjalankan protokol kesehatan, yang paling utama memakai masker."
M,"Jakarta, 4 Oktober 2021
Pemerintah Indonesia telah berhasil mencapai 2 juta dosis vaksinasi COVID-19. Data yang dihimpun Satgas COVID-19 pada tanggal 29 September 2021 sebanyak 2.049.125 dosis vaksin yang telah disuntikan. Secara rinci sebanyak 1.291.850 dosis vaksin ke-1 dan 757.275 dosis vaksin ke-2. Dengan demikian sampai tanggal tersebut jumlah penduduk yang sudah disuntik dosis pertama sebanyak 89.822.987 orang dan 50.412.993 orang untuk vaksin ke-2. Ini berarti vaksinasi dosis pertama sudah menjangkau 43,13% dan 24,21% untuk dosis ke-2 dari target vaksinasi 208.265.720 orang. Sementara untuk dosis ke-3 atau vaksinasi booster bagi tenaga kesehatan sebayak 7.283 dosis per hari ini dengan jumlah tenaga kesehatan 924.828 orang. Capaian vaksinasi tersebut dicapai berkat usaha optimal dan gotong royong dengan semua pihak terutama TNI/Polri, pemerintah daerah, BUMN dan pihak swasta yang turut membantu. Kemenkes terus berupaya meningkatkan percepatan vaksinasi. Kepala Biro Komunikasi dan Pelayanan Masyarakat drg. Widyawati, MKM mengatakan selain membuka vaksinasi massal dengan bekerja sama dengan berbagai elemen masyarakat, Kemenkes juga telah mengeluarkan Surat Edaran yang menginstruksikan seluruh pos pelayanan vaksinasi, Unit Pelaksana Teknis di bawah Kemenkes, seperti Kantor Kesehatan Pelabuhan (KKP), RS Vertikal, Poltekkes, di seluruh Indonesia untuk melakukan vaksinasi kepada semua target sasaran tanpa memandang domisili atau tempat tinggal pada KTP. “Salah satu strategi pemerintah adalah mengupayakan ketersediaan vaksin dan mempercepat program vaksinasi sehingga semakin banyak masyarakat terlindungi,” katanya di kantor Kementerian Kesehatan, Senin (4/10). Pemerintah juga terus mengupayakan ketersediaan vaksin baik lewat skema multilateral maupun bilateral demi mencukupi stok yang ada saat ini dan menjaga laju vaksinasi sesuai dengan stok vaksin yang ada. Seluruh masyarakat Indonesia diminta untuk memanfaatkan kesempatan ini dengan sebaik-baiknya, karena dengan vaksinasi dan melaksanakan protokol kesehatan yang ketat akan semakin banyak dan semakin cepat masyarakat terlindungi dari COVID-19."
N,"TRIBUNNEWS.COM, JAKARTA - Layanan internet Indihome mengalami gangguan teknis, yang membuat para penggunanya tidak bisa mengakses internet untuk berselancar. Menurut pantauan pantauan situs Downdetector pada Senin (20/9/2021), terdapat laporan gangguan terhadap layanan internet Indihome sejak 19 September 2021. Setidaknya ada lebih dari 200 laporan oleh para pengguna Indihome. Dari total laporan tersebut lokasi yang paling banyak mengalami laporan gangguan yaitu Jakarta, Bekasi Malang, Semarang, Yogyakarta, Makassar, Surabaya, Bandung dan Kediri. Sebanyak 98 persen dari total laporan tersebut, menyebutkan adanya masalah jaringan internet, sementara 2 persen mengalami masalah black out dan 1 persen ada masalah pada layanan televisi Indihome. Salah satu pengguna layanan Indihome bernama Aftar, memberikan komentar di laman situs Downdetector. Ia menyatakan bahwa layanan internet masih terasa lambat dan sulit diakses. Menanggapi hal tersebut, Telkom sebagai penyedia layanan Indihome meyebutkan adanya penurunan akses jaringan internet yang disebabkan gangguan teknis di beberapa wilayah seperti Jawa Timur, Bali, Nusa Tenggara, Pulau Natuna, Kalimantan, Sulawesi, Maluku dan Papua. Vice President Corporate Communications Telkomsel Denny Abidin mengatakan, saat ini TelkomGroup sedang berusaha menemukan penyebab gangguan tersebut. ""Kami sedang berusaha menemukan penyebab gangguan, dan memprioritaskan percepatan pemulihan akses layanan internet di wilayah yang terdampak,"" ucap Deny, Senin (20/9/2021). Ia juga menyebutkan, sementar itu untuk layanan telepon dan juga pesan singkat masih dapat diakses dengan normal. ""Kami menyampaikan permohonan maaf atas hal ini, dan akan segera menginformasikan proses pemulihan layanan tersebut secara berkala,"" ucap Deny."
O,"Mengutip cuitan yang dituliskan oleh chef Arnold pada akun Twitter pribadinya @ArnoldPoernomo (26/7), salah satu juri MasterChef ini juga mengomentari peraturan tersebut. Ia bahkan mengatakan bahwa penjual makanan yang menyajikan makanan rasanya akan seperti sedang latihan untuk menjadi kontestan di MasterChef Indonesia. ""Wkwkwkwk PPKM makan cuma boleh 20 menit... yang masak pada latihan jadi kontestan MCI. ""Waktu kalian 20 menit dimulai dari sekarang"","" tulis Chef Arnold. Ia juga mengungkapkan yang akan terasa seperti sedang ada dalam kontes MasterChef bukan hanya orang-orang yang memasak. Ketika makanan harus dibuat dengan membutuhkan waktu sekitar 15 menit, maka tugas para pelayan yang menyajikan makanan akan serupa dengan para juri di MasterChef. ""Makanan keluar 15 menit... para waiters (pelayan) latihan jadi Juri MasterChef. ""Waktu makan kalian 5 menit dimulai dari sekarang"","" tulis cuitan lanjutan pada akun Twitter chef Arnold. Ternyata cuitan tersebut juga direspon dengan kocak oleh para pengikut chef Arnold di Twitter. Beberapa bahkan mengatakan peraturan ini menjadi waktu yang tepat untuk menerapkan latihan dasar kepemimpinan saat sekolah serta yang lainnya membayangkan jasa yang akan muncul akibat peraturan tersebut."
P,"Seorang pejabat dari Federasi Sepak Bola Pakistan mengatakan dalam kelompok itu, 81 orang akan ditempatkan di markas federasi di kota timur Lahore. Sejauh ini 34 orang akan tiba hari Kamis, jelasnya.Para pemain akan menetap di Pakistan di bawah penjagaan ketat selama 30 hari sebelum ke penampungan di negara ketiga, jelas pejabat tersebut seperti dilansir dari laman BBC, Kamis (16/9).The Independent belakangan mengungkapkan para pemain sepak bola itu menulis surat kepada Perdana Menteri Pakistan Imran Khan untuk meminta izin segera masuk ke negaranya.Surat tersebut menyebutkan mereka dalam risiko ""ancaman serius"" dari Taliban.Setelah kejatuhan Kabul pada bulan lalu, para pemain diingatkan oleh kapten tim national, Khalida Popal, untuk menghapus foto-foto mereka bermain di media sosial dan membakar peralatan untuk melindungi diri dari potensi balasan dari rezim yang baru."
Q,"Sekolah masa depan menggabungkan pembelajaran secara luring (luar jaringan) dan daring (dalam jaringan). Istilah populernya adalah blended learning.“Perkembangan teknologi yang pesat membuat anak semakin banyak berinteraksi dengan aktivitas daring yang cukup beragam,” ujar Praktisi pendidikan Laksmi Mayesti, di Jakarta, Minggu (22/8). Selain mendapatkan pengalaman belajar secara daring, siswa juga perlu mendapatkan pengalaman belajar secara luring. Pertemuan tatap muka secara langsung dengan guru dan siswa akan tetap menjadi kebutuhan pokok anak. Tujuan untuk menyeimbangkan kebutuhan sosialnya dan kognitifnya. Sehingga para siswa bisa benar-benar merasakan pengalaman sistem belajar campuran tersebut. “Sekolah perlu memberikan ruang untuk belajar secara langsung bersama fasilitator pendamping dan teman sekolah,” imbuhnya. Kelas luring, lanjutnya, perlu dilengkapi bahan ajar dan alat peraga atau praktikum yang lengkap. Sehingga para siswa mendapatkan pengalaman belajar tatap muka yang lebih optimal. Dia bertekad memajukan pendidikan Indonesia melalui sistem belajar campuran. “Anak mempunyai kesempatan mengeksplorasi belajar daring secara luas sesuai minatnya. Tetapi juga mendapatkan kesempatan untuk mengembangkan kebutuhan dan keterampilan sosial lewat pertemuan luring dengan guru dan teman,” pungkas Laksmi."
R,"Facebook, Instagram, dan WhatsApp down secara bersamaan tanpa diketahui penyebabnya.Berdasarkan laporan dan protes di Twitter, peristiwa ini nampaknya tidak hanya terjadi di wilayah Indonesia, namun juga di berbagai negara. Meski begitu, ada satu hal yang menarik yang ditemukan dari jutaan tweet terkait WhatsApp down yang muncul di lini masa.Pantauan Nextren melihat ada sejumlah netizen suudzon ke IndiHome saat WhatsApp down. Para warganet banyak yang menuduh IndiHome adalah dalang dari kendala yang terjadi pada Senin (4/10) malam tersebut. Kebanyakan dari mereka mengaku bahwa dugaan tersebut merujuk pada kasus IndiHome yang error pada beberapa waktu lalu. Penasaran dengan cuitan netizen yang menuding IndiHome sebagai dalang masalah ketika WhatsApp down? Simak rangkuman tweet yang Nextren kutip berikut ini. Ahmad Reza, selaku SVP Corporate Communication & Investor Relation Telkom, menuturkan bahwa sistem komunikasi laut sedang bermasalah. Kendala itu terjadi untuk sistem komunikasi laut yang ada Jawa, Sumatera, dan Kalimantan (Jasuka) ruas Batam - Pontianak. Alhasil, kualitas layanan internet di sejumlah daerah tersebut pun menurun. Reza mengatakan, ""Saat ini kami sudah langsung melakukan rerouting trafik sebagai alternatif jalur komunikasi menuju Batam, sehingga kualitas layanan dapat segera kembali normal sebelum tengah malam ini,"" dikutip dari Kompas, Senin (10/4)."
S,"Manchester United gagal meraih poin penuh saat menjamu Everton di laga pekan ketujuh Liga Inggris 2021-2022 pada Sabtu 2 Oktober 2021 malam WIB. Pada laga yang berakhir 1-1 itu, Ole Gunnar Solskjaer pun disalahkan karena mencadangkan Cristiano Ronaldo. Meski begitu, Solskjaer merasa tak bersalah sama sekali karena mencadangkan Ronaldo. Menurutnya mengistirahatkan Ronaldo dan memainkan pemain lain merupakan keputusan yang tepat. Pada pertandingan yang berlangsung di Stadion Old Trafford, pelatih asal Norwegia itu melakukan rotasi pada skuadnya. Di lini depan Edinson Cavani dan Anthony Martial dipercaya tampil sebagai starter. Cavani dan Martial menggantikan peran Ronaldo dan Jadon Sancho yang dalam beberapa laga terakhir selalu menjadi starter. Dengan keputusan berani Solskjaer itu The Red Devils –julukan Man United- mampu unggul lebih dulu melalui gol yang di cetak oleh Martial pada menit ke-43. Akan tetapi, di babak kedua Everton berhasil menyamakan kedudukan pada menit ke-65. Melalui gol serangan balik cepat Andres Townsend. Alhasil gol tersebut menjadi yang terakhir sekaligus menutup laga menjadi sama kuat 1-1. Megabintang Man United, Cristiano Ronaldo baru bermain pada menit ke-57 menggantikan Cavani. Padahal, pemain berusia 36 tahun itu adalah pencetak gol terbanyak Man United musim ini dengan lima gol dari lima pertandingan di semua kompetisi. Ronaldo sendiri telah tampil selama 33 menit pada pertandingan tersebut. Namun, ia tidak mampu berbuat banyak dan membantu timnya meraih kemenangan."
T,"Suara.com - Sejak Senin malam (4/10/2021) WhatsApp, Facebook, dan Instagram down secara global. Menariknya, tidak hanya tiga aplikasi itu yang menjadi topik panas di tengah warganet +62, tapi juga Indihome. Tidak ada gangguan Indihome kali ini. Tapi entah mengapa, warganet +62 tetap mengaitkannya ke pemadaman global WhatsApp, Facebook, dan Instagram kali ini. Dari pantauan Suara.com, hingga berita diturunkan Indihome menjadi trending topic Twitter, dibicarakan hingga lebih dari 25.700 cuitan. Berbagai komentar lucu hingga meme kocak pun menghiasi timeline Twitter dari warganet +62. Bahkan, tidak sedikit warganet yang sempat suudzon dengan Indihome karena tidak bisa mengirim pesan lewat WhatsApp, melihat postingan terbaru di Instagram dan Facebook. Pemadaman global pada WhatsApp, Instagram, dan Facebook terjadi lebih dari tujuh jam. Kini semua mulai pulih kembali dan CEO Facebook Mark Zuckerberg pun sudah menyampaikan permohonan maafnya melalui akun resminya."
